feature,mean_abs_shap
National_x_Warehouse,26.803820202357386
WarehousesSellingCount_Lag1,21.706332096184163
RollingMean3,16.97421969702649
Lag1_NetSales,13.489598738812795
Segment,13.092337693814398
WH,11.400391799236889
RollingMean2,9.363922460503142
RollingMax3,8.462005692360242
RollingMin3,6.8630534726841015
Lag1,6.463030634284082
ItemAge,4.81351914857372
NationalSales_Lag1,4.283129703001954
RollingMedian3,3.4162943106420047
Lag1_Returns,2.6247109020810058
CurrentSegmentDuration,2.3573455641987255
Lag2,2.137755646200639
NationalGrowth,1.9266319199548332
RollingMeanDelta_3_2,1.5648011697865687
NationalRollingMean3,1.3487495814603143
MonthsInAVAL,1.3177404644727269
MonthCos,1.308978807767488
ItemAge_x_Segment,1.0890579998648022
Outage,0.8392969067526478
Outage_x_Segment,0.6768725707209295
GrowthRatio,0.5919324004574705
WarehouseGrowth,0.05205217872817254
HasAvailabilityRecord,0.0
Item,0.0
IsExpFlagged,0.0
Momentum,0.0
RollingStd3,0.0
RollingStd2,0.0
Lag3_Outage,0.0
Lag3,0.0
Lag1_Outage,0.0
Lag2_Outage,0.0
TimeIndex,0.0
MonthSin,0.0
Quarter,0.0
Month,0.0
Year,0.0
MonthsSinceLastSale,0.0
ConsecutivePositiveMonths,0.0
SegmentTransitionCount,0.0
ConsecutiveZeroMonths,0.0
RollingOutage3,0.0
RollingOutage2,0.0
MonthsInROFF,0.0
MonthsInSHTG,0.0
MonthsInRARE,0.0
EverROFF,0.0
EverSHTG,0.0
EverRARE,0.0
WarehouseVolume_Lag1,0.0
OutageFrequency,0.0
ConsecutiveOutageMonths,0.0
EverOutaged,0.0
SegmentSeverity,0.0
WarehouseAvgSales_Lag1,0.0
Sales_x_Outage,0.0
HasAvail_x_Segment,0.0
